datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,source_file
2026-05-20 17:31:32.074,1181831530.0,337074.0,1.0,1.01465,-0.06494,0.3374,3.656,-6.74,0.611,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:32.074,1181831530.0,337074.0,2.0,0.93823,-0.23657,-0.25488,2.244,1.267,-2.802,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:32.276,1181831732.0,337275.0,1.0,1.06714,-0.02417,0.30884,6.573,14.405,-1.42,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:32.276,1181831732.0,337275.0,2.0,0.94971,-0.26587,-0.26099,-2.13,0.466,-0.344,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.475,1181832931.0,337475.0,1.0,1.01855,-0.06299,0.33521,-5.046,-0.893,-2.427,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.475,1181832931.0,337475.0,2.0,0.97363,-0.25098,-0.24878,-2.695,1.947,1.733,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.675,1181833131.0,337675.0,1.0,1.02271,-0.05737,0.3291,-1.366,1.183,-0.771,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.675,1181833131.0,337675.0,2.0,0.99683,-0.23828,-0.2251,-1.061,1.137,1.038,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.886,1181833342.0,337886.0,1.0,1.03442,-0.06274,0.32715,-5.321,0.603,-1.053,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.886,1181833342.0,337886.0,2.0,0.979,-0.25293,-0.23438,-2.0,1.733,1.137,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.086,1181832542.0,338086.0,1.0,1.03125,-0.05981,0.32813,1.221,3.916,0.298,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.086,1181832542.0,338086.0,2.0,0.99097,-0.23096,-0.23169,-2.221,1.229,1.435,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.286,1181832742.0,338286.0,1.0,1.02808,-0.06421,0.32031,-1.244,3.008,-0.504,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:33.286,1181832742.0,338286.0,2.0,0.98926,-0.24243,-0.23755,-2.794,1.412,1.374,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.486,1181833942.0,338486.0,1.0,1.03125,-0.06519,0.33105,-1.061,1.763,-1.458,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.486,1181833942.0,338486.0,2.0,0.99072,-0.23755,-0.22266,-2.321,0.779,0.817,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.686,1181834142.0,338686.0,1.0,1.03052,-0.0564,0.33276,-1.893,1.183,-1.824,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.686,1181834142.0,338686.0,2.0,0.99976,-0.24243,-0.24072,-3.053,0.168,0.206,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.886,1181834342.0,338886.0,1.0,1.03149,-0.05811,0.32715,-1.542,0.565,-0.779,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.886,1181834342.0,338886.0,2.0,0.9917,-0.25269,-0.24121,-1.489,-0.405,0.985,imu_2026-05-20(Alifi).csv
